93;Afghanistan
355;Albania
213;Algeria
1684;American Samoa
376;Andorra
244;Angola
1264;Anguilla
1268;Antigua and Barbuda
54;Argentina
374;Armenia
297;Aruba
61;Australia
672;Australian External Territories
43;Austria
994;Azerbaijan
1242;Bahamas
973;Bahrain
880;Bangladesh
1246;Barbados
375;Belarus
32;Belgium
501;Belize
229;Benin
1441;Bermuda
975;Bhutan
591;Bolivia (Plurinational State of)
599;Bonaire, Sint Eustatius and Saba
387;Bosnia and Herzegovina
267;Botswana
55;Brazil
1284;British Virgin Islands
673;Brunei Darussalam
359;Bulgaria
226;Burkina Faso
257;Burundi
855;Cambodia
237;Cameroon
238;Cape Verde
1345;Cayman Islands
236;Central African Rep.
235;Chad
56;Chile
86;China
57;Colombia
269;Comoros
242;Congo
682;Cook Islands
506;Costa Rica
225;Côte d'Ivoire
385;Croatia
53;Cuba
599;Curaçao
357;Cyprus
420;Czech Rep.
850;Dem. People's Rep. of Korea
243;Dem. Rep. of the Congo
45;Denmark
246;Diego Garcia
253;Djibouti
1767;Dominica
1809;Dominican Rep. 1
1829;Dominican Rep. 2
1849;Dominican Rep. 3
593;Ecuador
20;Egypt
503;El Salvador
240;Equatorial Guinea
291;Eritrea
372;Estonia
251;Ethiopia
500;Falkland Islands (Malvinas)
298;Faroe Islands
679;Fiji
358;Finland
33;France
262;French Dep. and Territories in the Indian Ocean
594;French Guiana
689;French Polynesia
241;Gabon
220;Gambia
995;Georgia
49;Germany
233;Ghana
350;Gibraltar
881;Global Mobile Satellite System (GMSS), shared
30;Greece
299;Greenland
1473;Grenada
388;Group of countries, shared code
590;Guadeloupe
1671;Guam
502;Guatemala
224;Guinea
245;Guinea-Bissau
592;Guyana
509;Haiti
504;Honduras
852;Hong Kong, China
36;Hungary
354;Iceland
91;India
62;Indonesia
870;Inmarsat SNAC
800;International Freephone Service
882;International Networks, shared code
883;International Networks, shared code
979;International Premium Rate Service (IPRS)
808;International Shared Cost Service (ISCS)
98;Iran (Islamic Republic of)
964;Iraq
353;Ireland
972;Israel
39;Italy
1658;Jamaica 1
1876;Jamaica 2
81;Japan
962;Jordan
254;Kenya
686;Kiribati
82;Korea (Rep. of)
965;Kuwait
996;Kyrgyzstan
856;Lao P.D.R.
371;Latvia
961;Lebanon
266;Lesotho
231;Liberia
218;Libya
423;Liechtenstein
370;Lithuania
352;Luxembourg
853;Macao, China
261;Madagascar
265;Malawi
60;Malaysia
960;Maldives
223;Mali
356;Malta
692;Marshall Islands
596;Martinique
222;Mauritania
230;Mauritius
52;Mexico
691;Micronesia
373;Moldova (Republic of)
377;Monaco
976;Mongolia
382;Montenegro
1664;Montserrat
212;Morocco
258;Mozambique
95;Myanmar
264;Namibia
674;Nauru
977;Nepal
31;Netherlands
687;New Caledonia
64;New Zealand
505;Nicaragua
227;Niger
234;Nigeria
683;Niue
1670;Northern Marianas
47;Norway
968;Oman
92;Pakistan
680;Palau
507;Panama
675;Papua New Guinea
595;Paraguay
51;Peru
63;Philippines
48;Poland
351;Portugal
1787;Puerto Rico 1
1939;Puerto Rico 2
974;Qatar
40;Romania
7;Russian Federation / Kazakhstan
250;Rwanda
247;Saint Helena, Ascension and Tristan da Cunha
290;Saint Helena, Ascension and Tristan da Cunha
1869;Saint Kitts and Nevis
1758;Saint Lucia
508;Saint Pierre and Miquelon
1784;Saint Vincent and the Grenadines
685;Samoa
378;San Marino
239;Sao Tome and Principe
966;Saudi Arabia
221;Senegal
381;Serbia
248;Seychelles
232;Sierra Leone
65;Singapore
1721;Sint Maarten (Dutch part)
421;Slovakia
386;Slovenia
677;Solomon Islands
252;Somalia
27;South Africa
211;South Sudan
34;Spain
94;Sri Lanka
249;Sudan
597;Suriname
268;Swaziland
46;Sweden
41;Switzerland
963;Syrian Arab Republic
886;Taiwan, China
992;Tajikistan
255;Tanzania
66;Thailand
389;The Former Yugoslav Republic of Macedonia
670;Timor-Leste
228;Togo
690;Tokelau
676;Tonga
991;Trial of a proposed new international service
1868;Trinidad and Tobago
216;Tunisia
90;Turkey
993;Turkmenistan
1649;Turks and Caicos Islands
688;Tuvalu
256;Uganda
380;Ukraine
971;United Arab Emirates
44;United Kingdom
1340;United States Virgin Islands
598;Uruguay
1;USA / Canada
998;Uzbekistan
678;Vanuatu
39;Vatican
379;Vatican
58;Venezuela (Bolivarian Republic of)
84;Viet Nam
681;Wallis and Futuna
967;Yemen
260;Zambia
263;Zimbabwe
